4.310,169,0,-2,1,12,1,0,-1,0,-1,-1,0,0,0,0,0,7,
4.326,170,0,-3,0,8,0,0,1,0,0,0,0,0,0,0,0,6,
4.343,171,0,1,0,10,0,0,-3,-1,0,0,0,0,0,0,0,7,
4.360,172,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,6,
4.376,173,0,3,0,3,0,0,-1,0,1,0,0,0,0,0,0,6,
4.393,174,0,2,-1,-1,0,0,2,0,0,0,0,0,0,0,0,7,
4.410,175,0,-2,0,-5,0,0,2,0,3,0,0,0,0,0,0,6,
4.426,176,0,6,-1,-8,0,0,-2,0,6,0,0,0,0,0,0,7,
4.443,177,0,4,-1,-13,0,0,0,0,4,0,0,0,0,0,0,6,
4.460,178,-1,4,-1,-9,0,0,1,-1,0,0,0,0,0,0,0,6,
4.476,179,0,3,1,-11,0,0,0,-5,-9,0,0,0,0,0,0,7,
4.493,180,0,1,7,-9,2,0,0,-5,-12,-2,0,0,0,0,0,6,
4.510,181,0,2,8,-7,5,0,0,-7,-1,-2,0,0,0,0,0,6,
4.526,182,0,4,15,-5,4,0,1,-8,6,-5,0,0,0,0,0,7,
4.543,183,0,3,16,0,3,0,0,0,-1,-4,0,0,0,0,0,6,
4.560,184,0,4,20,2,4,0,6,-2,-5,-2,0,0,0,0,0,7,
4.576,185,0,1,16,6,1,0,3,-8,-2,-1,0,0,0,0,0,6,
4.593,186,0,5,16,6,0,0,5,-8,0,0,0,0,0,0,0,6,
4.610,187,0,7,20,9,-1,0,5,0,0,0,0,0,0,0,0,7,
4.626,188,0,7,16,7,0,0,1,0,0,1,0,0,0,0,0,6,
4.643,189,0,6,20,5,0,0,2,3,0,-1,0,0,0,0,0,7,
4.660,190,0,6,16,1,1,0,0,-1,0,0,0,0,0,0,0,6,
4.676,191,0,10,20,2,0,0,0,0,-3,-1,0,0,0,0,0,6,
4.693,192,0,6,14,2,0,0,2,0,-2,1,0,0,0,0,0,7,
4.710,193,0,5,9,4,-1,0,-1,-4,-3,0,0,0,0,0,0,6,
4.726,194,0,-1,5,8,1,0,1,-1,-1,0,0,0,0,0,0,7,
4.743,195,0,9,6,8,4,0,2,0,0,-4,0,0,0,0,0,6,
4.760,196,-1,11,6,15,4,0,6,-2,-3,-2,0,0,0,0,0,6,
4.776,197,0,16,10,19,3,0,1,3,0,-2,0,0,0,0,0,7,
4.793,198,-1,16,10,16,2,0,0,1,0,-2,0,0,0,0,0,6,
4.810,199,0,20,8,18,7,0,5,-2,0,-1,0,0,0,0,0,7,
4.826,200,0,8,8,16,4,0,2,3,0,0,0,0,0,0,0,6,
4.843,201,0,10,4,18,4,0,1,5,0,-2,0,0,0,0,0,6,
4.860,202,0,13,0,10,8,0,4,6,0,3,0,0,0,0,0,7,
4.876,203,0,12,1,8,3,0,2,3,4,0,0,0,0,0,0,6,
4.893,204,0,12,0,4,-1,0,1,1,2,0,0,0,0,0,0,6,
4.910,205,0,7,-4,0,-1,0,-1,-3,0,0,0,0,0,0,0,7,
4.926,206,0,1,-3,-1,0,0,6,0,1,0,0,0,0,0,0,6,
4.943,207,0,10,-5,-2,1,0,4,3,1,0,0,0,0,0,0,7,
4.960,208,0,3,-7,-2,0,0,-2,0,0,0,0,0,0,0,0,6,
4.976,209,0,4,-2,-3,0,0,-2,0,0,0,0,0,0,0,0,6,
4.993,210,-1,1,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,7,
5.010,211,0,-1,-3,-2,7,0,9,0,0,-3,0,0,0,0,0,6,
5.026,212,0,4,-1,-2,5,0,7,1,0,-4,0,0,0,0,0,7,
5.043,213,-1,3,0,-1,4,0,2,0,-4,-2,0,0,0,0,0,6,
5.060,214,0,2,0,0,4,0,-2,0,-7,-3,0,0,0,0,0,6,
5.076,215,0,0,0,6,0,0,6,0,-1,0,0,0,0,0,0,7,
5.093,216,0,0,0,6,-2,0,6,0,4,1,0,0,0,0,0,6,
5.110,217,0,7,1,5,-1,0,-2,0,0,1,0,0,0,0,0,6,
5.126,218,0,6,0,7,4,0,-3,0,0,3,0,0,0,0,0,7,
5.143,219,0,6,1,3,2,0,0,0,1,1,0,0,0,0,0,6,
5.160,220,0,7,0,3,5,0,2,0,1,2,0,0,0,0,0,7,
5.176,221,0,2,0,0,6,0,-1,0,0,1,0,0,0,0,0,6,
5.193,222,0,8,0,-1,9,0,-2,0,0,6,0,0,0,0,0,7,
5.210,223,0,4,0,-2,11,0,0,0,0,1,0,0,0,0,0,6,
5.226,224,0,4,-1,-2,13,0,-2,0,0,-2,0,0,0,0,0,6,
5.243,225,0,3,0,-3,3,0,-2,0,0,-1,0,0,0,0,0,7,
5.260,226,0,1,-1,-1,-2,0,1,0,1,0,0,0,0,0,0,6,
